id,price_bn,model_slug,year,volume,control,model_detail_slug,median_price_bn,final_model_slug,final_price_bn,final_model_detail_slug,final_model_detail_slug_id
269755,33.48,zuoruihaiwai,2014,2.0,自动,269755_gpj,31.729999999999997,zuoruihaiwai,33.48,269755_gpj,269755
269754,29.98,zuoruihaiwai,2014,2.0,自动,269754_gpj,31.729999999999997,zuoruihaiwai,29.98,269754_gpj,269754
69070,33.48,zuoruihaiwai,2013,2.0,自动,m26334_pa,31.729999999999997,zuoruihaiwai,33.48,m26334_pa,69070
69069,29.98,zuoruihaiwai,2013,2.0,自动,m26333_pa,31.729999999999997,zuoruihaiwai,29.98,m26333_pa,69069
128394,14.28,zunchi,2011,2.0,自动,10222_ah,13.78,zunchi,14.28,10222_ah,128394
128392,13.28,zunchi,2011,2.0,自动,10221_ah,13.78,zunchi,13.28,10221_ah,128392
128393,11.88,zunchi,2011,2.0,手动,10220_ah,11.38,zunchi,11.88,10220_ah,128393
128391,10.88,zunchi,2011,2.0,手动,10219_ah,11.38,zunchi,10.88,10219_ah,128391
128400,25.28,zunchi,2011,1.8,自动,10228_ah,17.68,zunchi,25.28,10228_ah,128400
128399,20.28,zunchi,2011,1.8,自动,10227_ah,17.68,zunchi,20.28,10227_ah,128399
128398,15.08,zunchi,2011,1.8,自动,10226_ah,17.68,zunchi,15.08,10226_ah,128398
128396,14.08,zunchi,2011,1.8,自动,10225_ah,17.68,zunchi,14.08,10225_ah,128396
128397,14.08,zunchi,2011,1.8,手动,10224_ah,13.58,zunchi,14.08,10224_ah,128397
128395,13.08,zunchi,2011,1.8,手动,10223_ah,13.58,zunchi,13.08,10223_ah,128395
81663,13.98,zunchi,2010,2.0,自动,m10660_ba,13.48,zunchi,13.98,m10660_ba,81663
81659,12.98,zunchi,2010,2.0,自动,m10659_ba,13.48,zunchi,12.98,m10659_ba,81659
81651,11.58,zunchi,2010,2.0,手动,m10658_ba,11.08,zunchi,11.58,m10658_ba,81651
81641,10.58,zunchi,2010,2.0,手动,m10657_ba,11.08,zunchi,10.58,m10657_ba,81641
81633,24.98,zunchi,2010,1.8,自动,m10666_ba,17.38,zunchi,24.98,m10666_ba,81633
81627,19.98,zunchi,2010,1.8,自动,m10665_ba,17.38,zunchi,19.98,m10665_ba,81627
81619,14.78,zunchi,2010,1.8,自动,m10664_ba,17.38,zunchi,14.78,m10664_ba,81619
81612,13.78,zunchi,2010,1.8,自动,m10663_ba,17.38,zunchi,13.78,m10663_ba,81612
81604,13.78,zunchi,2010,1.8,手动,m10662_ba,13.28,zunchi,13.78,m10662_ba,81604
81599,12.78,zunchi,2010,1.8,手动,m10661_ba,13.28,zunchi,12.78,m10661_ba,81599
81656,13.98,zunchi,2009,2.0,自动,m8848_ba,13.48,zunchi,13.98,m8848_ba,81656
81645,12.98,zunchi,2009,2.0,自动,m8847_ba,13.48,zunchi,12.98,m8847_ba,81645
81637,24.98,zunchi,2009,1.8,自动,m8853_ba,17.38,zunchi,24.98,m8853_ba,81637
81630,19.98,zunchi,2009,1.8,自动,m8852_ba,17.38,zunchi,19.98,m8852_ba,81630
81623,14.78,zunchi,2009,1.8,自动,m8851_ba,17.38,zunchi,14.78,m8851_ba,81623
81615,13.78,zunchi,2009,1.8,自动,m8616_ba,17.38,zunchi,13.78,m8616_ba,81615
81608,13.78,zunchi,2009,1.8,手动,m8849_ba,13.28,zunchi,13.78,m8849_ba,81608
81602,12.78,zunchi,2009,1.8,手动,m8850_ba,13.28,zunchi,12.78,m8850_ba,81602
121829,12.98,zunchi,2008,2.0,自动,43888_autotis,12.780000000000001,zunchi,12.98,43888_autotis,121829
106193,12.58,zunchi,2008,2.0,自动,4622_ah,12.780000000000001,zunchi,12.58,4622_ah,106193
106195,12.28,zunchi,2008,2.0,手动,3950_ah,11.78,zunchi,12.28,3950_ah,106195
106194,11.28,zunchi,2008,2.0,手动,3949_ah,11.78,zunchi,11.28,3949_ah,106194
81643,24.98,zunchi,2008,1.8,自动,m7415_ba,17.38,zunchi,24.98,m7415_ba,81643
81635,19.98,zunchi,2008,1.8,自动,m7414_ba,17.38,zunchi,19.98,m7414_ba,81635
81629,14.78,zunchi,2008,1.8,自动,m7413_ba,17.38,zunchi,14.78,m7413_ba,81629
97035,12.58,zunchi,2008,1.8,自动,m108510_ba,17.38,zunchi,12.58,m108510_ba,97035
81621,13.78,zunchi,2008,1.8,手动,m7412_ba,12.68,zunchi,13.78,m7412_ba,81621
97039,13.78,zunchi,2008,1.8,手动,m109420_ba,12.68,zunchi,13.78,m109420_ba,97039
97033,13.58,zunchi,2008,1.8,手动,m108500_ba,12.68,zunchi,13.58,m108500_ba,97033
81613,12.78,zunchi,2008,1.8,手动,m8151_ba,12.68,zunchi,12.78,m8151_ba,81613
96999,12.58,zunchi,2008,1.8,手动,m109418_ba,12.68,zunchi,12.58,m109418_ba,96999
81606,12.28,zunchi,2008,1.8,手动,m8152_ba,12.68,zunchi,12.28,m8152_ba,81606
81600,11.28,zunchi,2008,1.8,手动,m7411_ba,12.68,zunchi,11.28,m7411_ba,81600
97012,10.08,zunchi,2008,1.8,手动,m109429_ba,12.68,zunchi,10.08,m109429_ba,97012
81662,12.68,zunchi,2007,2.0,自动,m1359_ba,12.68,zunchi,12.68,m1359_ba,81662
81658,11.58,zunchi,2007,2.0,手动,m1356_ba,11.38,zunchi,11.58,m1356_ba,81658
97001,11.38,zunchi,2007,2.0,手动,m109417_ba,11.38,zunchi,11.38,m109417_ba,97001
81648,10.58,zunchi,2007,2.0,手动,m1355_ba,11.38,zunchi,10.58,m1355_ba,81648
97053,24.98,zunchi,2007,1.8,自动,m108509_ba,19.98,zunchi,24.98,m108509_ba,97053
81639,19.98,zunchi,2007,1.8,自动,m1364_ba,19.98,zunchi,19.98,m1364_ba,81639
81631,16.58,zunchi,2007,1.8,自动,m1363_ba,19.98,zunchi,16.58,m1363_ba,81631
81625,14.98,zunchi,2007,1.8,手动,m1358_ba,11.58,zunchi,14.98,m1358_ba,81625
81617,13.98,zunchi,2007,1.8,手动,m1361_ba,11.58,zunchi,13.98,m1361_ba,81617
81610,13.58,zunchi,2007,1.8,手动,m1360_ba,11.58,zunchi,13.58,m1360_ba,81610
81603,11.58,zunchi,2007,1.8,手动,m1362_ba,11.58,zunchi,11.58,m1362_ba,81603
97023,11.58,zunchi,2007,1.8,手动,m109414_ba,11.58,zunchi,11.58,m109414_ba,97023
81598,10.58,zunchi,2007,1.8,手动,m1357_ba,11.58,zunchi,10.58,m1357_ba,81598
97029,10.58,zunchi,2007,1.8,手动,m109416_ba,11.58,zunchi,10.58,m109416_ba,97029
97032,9.98,zunchi,2007,1.8,手动,m109419_ba,11.58,zunchi,9.98,m109419_ba,97032
