province,model_slug,popularity
北京,audi-a5,B
上海,audi-a5,A
天津,audi-a5,B
重庆,audi-a5,A
河北,audi-a5,B
山西,audi-a5,B
内蒙古,audi-a5,B
辽宁,audi-a5,B
吉林,audi-a5,B
黑龙江,audi-a5,B
江苏,audi-a5,B
浙江,audi-a5,A
安徽,audi-a5,B
福建,audi-a5,B
江西,audi-a5,B
山东,audi-a5,B
河南,audi-a5,B
湖北,audi-a5,B
湖南,audi-a5,B
广东,audi-a5,B
广西,audi-a5,B
海南,audi-a5,B
四川,audi-a5,B
贵州,audi-a5,B
云南,audi-a5,B
西藏,audi-a5,C
陕西,audi-a5,B
甘肃,audi-a5,B
宁夏,audi-a5,B
青海,audi-a5,B
新疆,audi-a5,B
香港,audi-a5,C
澳门,audi-a5,C
台湾,audi-a5,C
北京,audi-a6,A
上海,audi-a6,A
天津,audi-a6,A
重庆,audi-a6,B
河北,audi-a6,A
山西,audi-a6,A
内蒙古,audi-a6,A
辽宁,audi-a6,A
吉林,audi-a6,A
黑龙江,audi-a6,A
江苏,audi-a6,A
浙江,audi-a6,B
安徽,audi-a6,A
福建,audi-a6,B
江西,audi-a6,B
山东,audi-a6,A
河南,audi-a6,B
湖北,audi-a6,B
湖南,audi-a6,A
广东,audi-a6,B
广西,audi-a6,B
海南,audi-a6,B
四川,audi-a6,B
贵州,audi-a6,B
云南,audi-a6,A
西藏,audi-a6,B
陕西,audi-a6,B
甘肃,audi-a6,A
宁夏,audi-a6,B
青海,audi-a6,A
新疆,audi-a6,A
香港,audi-a6,C
澳门,audi-a6,C
台湾,audi-a6,C
北京,audi-q7,A
上海,audi-q7,A
天津,audi-q7,A
重庆,audi-q7,A
河北,audi-q7,A
山西,audi-q7,A
内蒙古,audi-q7,A
辽宁,audi-q7,A
吉林,audi-q7,A
黑龙江,audi-q7,A
江苏,audi-q7,B
浙江,audi-q7,A
安徽,audi-q7,B
福建,audi-q7,B
江西,audi-q7,B
山东,audi-q7,A
河南,audi-q7,A
湖北,audi-q7,A
湖南,audi-q7,B
广东,audi-q7,A
广西,audi-q7,B
海南,audi-q7,B
四川,audi-q7,A
贵州,audi-q7,A
云南,audi-q7,A
西藏,audi-q7,A
陕西,audi-q7,A
甘肃,audi-q7,A
宁夏,audi-q7,A
青海,audi-q7,A
新疆,audi-q7,A
香港,audi-q7,A
澳门,audi-q7,C
台湾,audi-q7,C
北京,audi-r8,B
上海,audi-r8,B
天津,audi-r8,B
重庆,audi-r8,B
河北,audi-r8,B
山西,audi-r8,B
内蒙古,audi-r8,B
辽宁,audi-r8,B
吉林,audi-r8,B
黑龙江,audi-r8,B
江苏,audi-r8,B
浙江,audi-r8,B
安徽,audi-r8,B
福建,audi-r8,B
江西,audi-r8,B
山东,audi-r8,B
河南,audi-r8,C
湖北,audi-r8,B
湖南,audi-r8,B
广东,audi-r8,B
广西,audi-r8,B
海南,audi-r8,B
四川,audi-r8,B
贵州,audi-r8,B
云南,audi-r8,B
西藏,audi-r8,B
陕西,audi-r8,C
甘肃,audi-r8,B
宁夏,audi-r8,B
青海,audi-r8,B
新疆,audi-r8,B
香港,audi-r8,C
澳门,audi-r8,C
台湾,audi-r8,C
北京,audi-s5,B
上海,audi-s5,B
天津,audi-s5,B
重庆,audi-s5,B
河北,audi-s5,C
山西,audi-s5,B
内蒙古,audi-s5,C
辽宁,audi-s5,B
吉林,audi-s5,C
黑龙江,audi-s5,C
江苏,audi-s5,B
浙江,audi-s5,B
安徽,audi-s5,B
福建,audi-s5,B
江西,audi-s5,C
山东,audi-s5,C
河南,audi-s5,B
湖北,audi-s5,B
湖南,audi-s5,B
广东,audi-s5,B
广西,audi-s5,C
海南,audi-s5,C
四川,audi-s5,B
贵州,audi-s5,B
云南,audi-s5,B
西藏,audi-s5,C
陕西,audi-s5,C
甘肃,audi-s5,B
宁夏,audi-s5,C
青海,audi-s5,C
新疆,audi-s5,C
香港,audi-s5,C
澳门,audi-s5,C
台湾,audi-s5,C
北京,audi-s8,B
上海,audi-s8,B
天津,audi-s8,B
重庆,audi-s8,B
河北,audi-s8,B
山西,audi-s8,C
内蒙古,audi-s8,C
辽宁,audi-s8,C
吉林,audi-s8,C
黑龙江,audi-s8,C
江苏,audi-s8,C
浙江,audi-s8,C
安徽,audi-s8,C
福建,audi-s8,C
江西,audi-s8,C
山东,audi-s8,C
河南,audi-s8,C
湖北,audi-s8,B
湖南,audi-s8,C
广东,audi-s8,C
广西,audi-s8,C
海南,audi-s8,C
四川,audi-s8,B
贵州,audi-s8,B
云南,audi-s8,B
西藏,audi-s8,C
陕西,audi-s8,C
甘肃,audi-s8,C
宁夏,audi-s8,C
青海,audi-s8,C
新疆,audi-s8,C
香港,audi-s8,C
澳门,audi-s8,C
台湾,audi-s8,C
北京,audi-tt,A
上海,audi-tt,A
天津,audi-tt,B
重庆,audi-tt,B
河北,audi-tt,B
山西,audi-tt,B
内蒙古,audi-tt,B
辽宁,audi-tt,B
吉林,audi-tt,B
黑龙江,audi-tt,B
江苏,audi-tt,B
浙江,audi-tt,A
安徽,audi-tt,B
福建,audi-tt,B
江西,audi-tt,B
山东,audi-tt,B
河南,audi-tt,B
湖北,audi-tt,B
湖南,audi-tt,B
广东,audi-tt,B
广西,audi-tt,B
海南,audi-tt,B
四川,audi-tt,B
贵州,audi-tt,B
云南,audi-tt,B
西藏,audi-tt,B
陕西,audi-tt,B
甘肃,audi-tt,B
宁夏,audi-tt,B
青海,audi-tt,B
新疆,audi-tt,B
香港,audi-tt,C
澳门,audi-tt,C
台湾,audi-tt,C
北京,i-audi-a4,B
上海,i-audi-a4,B
天津,i-audi-a4,B
重庆,i-audi-a4,B
河北,i-audi-a4,B
山西,i-audi-a4,B
内蒙古,i-audi-a4,B
辽宁,i-audi-a4,B
吉林,i-audi-a4,B
黑龙江,i-audi-a4,B
江苏,i-audi-a4,B
浙江,i-audi-a4,B
安徽,i-audi-a4,B
福建,i-audi-a4,B
江西,i-audi-a4,B
山东,i-audi-a4,B
河南,i-audi-a4,B
湖北,i-audi-a4,B
湖南,i-audi-a4,B
广东,i-audi-a4,B
广西,i-audi-a4,B
海南,i-audi-a4,B
四川,i-audi-a4,B
贵州,i-audi-a4,B
云南,i-audi-a4,B
西藏,i-audi-a4,B
陕西,i-audi-a4,B
甘肃,i-audi-a4,B
宁夏,i-audi-a4,B
青海,i-audi-a4,B
新疆,i-audi-a4,B
香港,i-audi-a4,C
澳门,i-audi-a4,C
台湾,i-audi-a4,C
北京,audi-s4,C
上海,audi-s4,C
天津,audi-s4,C
重庆,audi-s4,C
河北,audi-s4,C
山西,audi-s4,C
内蒙古,audi-s4,C
辽宁,audi-s4,C
吉林,audi-s4,C
黑龙江,audi-s4,C
江苏,audi-s4,C
浙江,audi-s4,C
安徽,audi-s4,C
福建,audi-s4,C
江西,audi-s4,C
山东,audi-s4,C
河南,audi-s4,C
湖北,audi-s4,C
湖南,audi-s4,C
广东,audi-s4,C
广西,audi-s4,C
海南,audi-s4,C
四川,audi-s4,C
贵州,audi-s4,C
云南,audi-s4,C
西藏,audi-s4,C
陕西,audi-s4,C
甘肃,audi-s4,C
宁夏,audi-s4,C
青海,audi-s4,C
新疆,audi-s4,C
香港,audi-s4,C
澳门,audi-s4,C
台湾,audi-s4,C
北京,audi-a3,B
上海,audi-a3,B
天津,audi-a3,B
重庆,audi-a3,B
河北,audi-a3,B
山西,audi-a3,B
内蒙古,audi-a3,B
辽宁,audi-a3,B
吉林,audi-a3,B
黑龙江,audi-a3,B
江苏,audi-a3,B
浙江,audi-a3,B
安徽,audi-a3,B
福建,audi-a3,B
